Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.513155541260039,1.8132261593772008,,160.67875073887495,NH
CAF-657,forage_dynamic_simdrop,8.59583668691237,4.13053558968586,,150.46190861849036,NH
CAF-657,forage_phonologicalstatic,8.475051473747916,1.7783941429848449,0.0192198692717488,160.6106599931632,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.62989534116608,4.208304384921651,-0.014120803055531,150.42700009787836,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.678603071747881,4.447003170670012,-0.0559808354034225,150.10596466074753,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.53191690327663,4.130466469617804,0.0684398740974167,150.18725974239553,NH
CAF-657,forage_random_baseline,0.0,0.0,,177.9940845685009,NH
CAJ-663,forage_static,7.053849259159862,0.0512555568131393,,115.35344039551822,NH
CAJ-663,forage_dynamic_simdrop,7.456366040303587,1.5918846084298637,,113.49523856211596,NH
CAJ-663,forage_phonologicalstatic,6.945167462053144,0.0273153355600688,0.0794525899467615,114.52969814295582,NH
CAJ-663,forage_phonologicaldynamicglobal_simdrop,7.319351997672546,1.4909833734591964,0.0720571026851781,112.82159100195418,NH
CAJ-663,forage_phonologicaldynamiclocal_simdrop,7.289887220503118,1.41660170633461,0.130415562246053,111.90054846669878,NH
CAJ-663,forage_phonologicaldynamicswitch_simdrop,7.505241210486189,1.5936845506637631,-0.1094516663141183,113.1859738079218,NH
CAJ-663,forage_random_baseline,0.0,0.0,,122.75454108172474,NH
CAM-666,forage_static,8.960589472949524,1.9178595385163504,,136.78395922920842,NH
CAM-666,forage_dynamic_simdrop,8.706224811165194,2.841770411483981,,133.9816382157142,NH
CAM-666,forage_phonologicalstatic,9.0287768123381,2.006941359681356,-0.0408723398587051,136.5475665243567,NH
CAM-666,forage_phonologicaldynamicglobal_simdrop,8.807889552877256,3.0488417833737307,-0.0565161325904224,133.54465739468472,NH
CAM-666,forage_phonologicaldynamiclocal_simdrop,8.749889324401881,2.9465022225893773,-0.0286470785601955,133.89791105280335,NH
CAM-666,forage_phonologicaldynamicswitch_simdrop,8.730950320401327,2.841584419836329,-0.1467927823739132,133.32859479655747,NH
CAM-666,forage_random_baseline,0.0,0.0,,153.44317635215594,NH
CAP-671,forage_static,9.982100293025148,1.567077220790703,,102.00245871241071,NH
CAP-671,forage_dynamic_simdrop,9.929872714916351,2.696931072086268,,99.17518606895304,NH
CAP-671,forage_phonologicalstatic,9.951981894159855,1.5393477863339786,0.0154726202000346,101.97393219376424,NH
CAP-671,forage_phonologicaldynamicglobal_simdrop,9.927469150197783,2.692825684569583,0.001235932820813,99.17500813021984,NH
CAP-671,forage_phonologicaldynamiclocal_simdrop,9.788481538053787,2.4560256831774687,0.0753696327121995,98.69339582652024,NH
CAP-671,forage_phonologicaldynamicswitch_simdrop,9.923487425195338,2.6968474245714837,-2.4974358781299517,97.21948122346036,NH
CAP-671,forage_random_baseline,0.0,0.0,,116.6168140276385,NH
CAQ-672,forage_static,8.185392642502732,1.638738340157423,,129.05309531686248,NH
CAQ-672,forage_dynamic_simdrop,8.21826172591216,3.266613598094096,,125.54181758078818,NH
CAQ-672,forage_phonologicalstatic,8.208120066089522,1.6729823974064015,-0.0187315167984153,129.00463395523045,NH
CAQ-672,forage_phonologicaldynamicglobal_simdrop,8.26530938602715,3.434107395168009,-0.0364750267892105,125.36467436914604,NH
CAQ-672,forage_phonologicaldynamiclocal_simdrop,8.247796893980805,3.4108321431792628,-0.0315199104453673,125.45147429445998,NH
CAQ-672,forage_phonologicaldynamicswitch_simdrop,8.234377909984554,3.2671276730374,-0.0470663394335869,125.44842823816914,NH
CAQ-672,forage_random_baseline,0.0,0.0,,141.16772224398346,NH
CAR-673,forage_static,8.093823800593754,2.2551181335911243,,126.3406683372082,NH
CAR-673,forage_dynamic_simdrop,8.376187908606898,4.215375024906868,,120.35817698053816,NH
CAR-673,forage_phonologicalstatic,8.264109648931779,2.407247366783828,-0.06069443711817,125.85255176321434,NH
CAR-673,forage_phonologicaldynamicglobal_simdrop,8.562169131211787,4.644587953646012,-0.0812053098662337,119.5115643205154,NH
CAR-673,forage_phonologicaldynamiclocal_simdrop,8.516253688964492,4.700137019125419,-0.0916220433432618,119.60430082867543,NH
CAR-673,forage_phonologicaldynamicswitch_simdrop,8.416698422323657,4.21645316598163,-0.0558323419461354,120.23486875594809,NH
CAR-673,forage_random_baseline,0.0,0.0,,141.16772224398346,NH
CAS-674,forage_static,6.83804961227732,3.3508521474468167,,115.39223680074224,NH
CAS-674,forage_dynamic_simdrop,6.48588600698556,3.996178721165071,,114.51246891551418,NH
CAS-674,forage_phonologicalstatic,6.862892240456743,3.5278318920874074,-0.0462592053674105,115.1188615522853,NH
CAS-674,forage_phonologicaldynamicglobal_simdrop,6.488325722474857,4.231248052374658,-0.0497399015681297,114.20534940155848,NH
CAS-674,forage_phonologicaldynamiclocal_simdrop,6.495803962656922,4.174706100683378,-0.037989183028573,114.37022180900104,NH
CAS-674,forage_phonologicaldynamicswitch_simdrop,6.468288319431762,3.996537093604553,-0.0976947951093225,114.2820797370488,NH
CAS-674,forage_random_baseline,0.0,0.0,,128.89226813581098,NH
CAV-678,forage_static,6.169618720520687,2.0646288296953825,,160.96559199643087,NH
CAV-678,forage_dynamic_simdrop,6.060374122392466,3.310512900331085,,157.84479309642327,NH
CAV-678,forage_phonologicalstatic,6.1921729709479205,2.106565298421207,-0.0199217193037527,160.89731627814697,NH
CAV-678,forage_phonologicaldynamicglobal_simdrop,6.107900717472238,3.4360604697974555,-0.0313686355846123,157.68093513504937,NH
CAV-678,forage_phonologicaldynamiclocal_simdrop,6.05898551302931,3.307537714901584,0.0007547761886251,157.8447224616552,NH
CAV-678,forage_phonologicaldynamicswitch_simdrop,6.0159045677143,3.3103535699398066,-0.1479820161763541,157.13789467077035,NH
CAV-678,forage_random_baseline,0.0,0.0,,171.85635751441467,NH
CAY-681,forage_static,7.965174478809597,2.040653072445453,,126.39936125376038,NH
CAY-681,forage_dynamic_simdrop,8.385133273516542,3.298185376374947,,123.73115827624538,NH
CAY-681,forage_phonologicalstatic,8.23493620511777,2.269794848999911,-0.0851488806989392,125.5104182344578,NH
CAY-681,forage_phonologicaldynamicglobal_simdrop,8.616142654351966,3.683057440889813,-0.0901658218174705,122.72559451734983,NH
CAY-681,forage_phonologicaldynamiclocal_simdrop,8.48652947677173,3.5643533013169955,-0.0632567075705787,123.36128715389292,NH
CAY-681,forage_phonologicaldynamicswitch_simdrop,8.519174318775873,3.302039679070111,-0.1689720910937735,122.86868745531528,NH
CAY-681,forage_random_baseline,0.0,0.0,,141.16772224398346,NH
CBD-686,forage_static,8.179243424244032,2.1523524084393206,,115.26170508092962,NH
CBD-686,forage_dynamic_simdrop,7.748546808720589,3.9098070481310794,,109.81137503972973,NH
CBD-686,forage_phonologicalstatic,8.188822479358077,2.1763480144787093,-0.0094370811806594,115.2504040960659,NH
CBD-686,forage_phonologicaldynamicglobal_simdrop,7.748427491870587,4.049726642370644,-0.0291270652752747,109.70908826321318,NH
CBD-686,forage_phonologicaldynamiclocal_simdrop,7.749059466035247,4.014857389900534,-0.0219674077545376,109.77323588051875,NH
CBD-686,forage_phonologicaldynamicswitch_simdrop,7.747100334733572,3.9098684567668514,-0.04297506115498,109.73555682729028,NH
CBD-686,forage_random_baseline,0.0,0.0,,128.89226813581098,NH
CBF-691,forage_static,7.880294518308968,1.5072429744068436,,106.86019298633104,NH
CBF-691,forage_dynamic_simdrop,7.906565890218565,3.277308797049027,,102.7177842509898,NH
CBF-691,forage_phonologicalstatic,7.800700470924419,1.452787972829441,0.0354966504242685,106.70608482044108,NH
CBF-691,forage_phonologicaldynamicglobal_simdrop,7.866348128573295,3.217270683466059,0.0144286217730509,102.69271770600614,NH
CBF-691,forage_phonologicaldynamiclocal_simdrop,7.7457030840724,2.915091833356845,0.0916054306323345,101.9797124896062,NH
CBF-691,forage_phonologicaldynamicswitch_simdrop,8.111302351327627,3.277457934597461,-0.2111302912946508,101.48820472530856,NH
CBF-691,forage_random_baseline,0.0,0.0,,116.6168140276385,NH
