Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.513156046829382,1.8132258219146016,,160.67875073887407,NH
CAF-657,forage_dynamic_simdrop,8.595847874315329,4.13053767339416,,150.46190861848024,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.46300519496315,1.7433328865087274,,161.33461200046054,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.316911128718994,2.0221147759588907,,160.87206268904256,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.316900151255313,2.022111768151142,,160.87206268906235,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.773026603992236,3.2804953197545457,,155.89917884368134,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.77299892666855,3.280494290588545,,155.89917884380966,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.760486587567339,3.615716167688266,,154.79942914024704,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.46926042301453,4.13246101483004,,150.88797117677242,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.469252698479863,4.132459166607777,,150.8879711767522,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.595843654516225,4.130536393093268,,150.46190861847816,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.59584154742821,4.130534506275077,,150.46190861848618,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.595847542728182,4.130535665361743,,150.46190861848245,NH
CAF-657,forage_dynamic_norms_associative,8.29598009831938,3.762474805877998,,158.14351526811834,NH
CAF-657,forage_dynamic_norms_categorical,7.973381389311313,2.771434907674278,,160.04696655459628,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.383248807166257,4.198235694136435,,151.31461838060102,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.06148526246809,3.49534002718541,,153.96378995826672,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.152483841873762,3.512775684543295,,153.27240855216326,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.222936551993959,3.2447768987248318,,154.57934696102546,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.393937389014276,3.2179107698323923,,154.12890450566755,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.306240964848651,4.675179040775281,,148.41406282808623,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.306239296814313,4.675181832926537,,148.41406282807685,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.413139071804755,4.646266814461633,,147.72019646531268,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.482963233320511,4.307239836430153,,149.65926323537727,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.711311103670647,4.223169626303797,,149.2985273746171,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.30621985664832,4.675182690540543,,148.41406282806335,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.306231310913617,4.675179184014181,,148.41406282805403,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.413123214296595,4.646267437355561,,147.72019646527949,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.482971623747023,4.307241853288487,,149.6592632353939,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.711325098079552,4.223168383679196,,149.29852737463273,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.125340314099914,5.501316793616103,,151.45490605455518,NH
