Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.592902233250992,1.3900138460144138,,156.24419305165586,NH
CAF-657,forage_dynamic_simdrop,8.850752790998865,3.3289833023159985,,149.46822773483757,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.518480731265784,1.280914972234538,,156.80020599463978,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.408623877165876,1.4716964202007934,,156.62734047640362,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.408627084246818,1.4716947214262317,,156.62734047640592,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.86404094218117,2.702111750566982,,152.9434988455315,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.864044178039714,2.7021110748960697,,152.94349884553029,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.864048741232192,2.70211085387695,,152.94349884553614,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.735798294221949,3.305289098985421,,149.8925265267623,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.735810717853116,3.3052944169405403,,149.89252652678874,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.850741016658358,3.32898253026814,,149.46822773483433,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.850740202017782,3.3289837810413503,,149.46822773483692,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.850738519998359,3.328983560162756,,149.4682277348411,NH
CAF-657,forage_dynamic_norms_associative,8.372215941333069,2.770869112764033,,155.51097988564027,NH
CAF-657,forage_dynamic_norms_categorical,8.152298757075013,1.9394290231945883,,156.51014889966413,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.652549519012336,3.324093612613278,,150.39326389015912,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.374872321102906,2.691983038285439,,152.07054706660114,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.462177845484119,2.744937558994004,,151.42163503510287,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.50030951008643,2.5107781873461765,,152.34786294794472,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.569175075368893,2.526258445794741,,152.10499500101196,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.652550472485501,3.324097540512763,,150.39326389014502,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.37487254122618,2.691986000882036,,152.07054706660844,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.46216320980514,2.7449382203204977,,151.4216350350821,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.500320797053469,2.510778670485573,,152.34786294798425,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.569180474903982,2.5262581377330418,,152.10499500100264,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.652559296120875,3.3240930625162326,,150.3932638901732,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.374873621224667,2.6919803799360498,,152.070547066607,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.462172338228607,2.744936662477256,,151.42163503508317,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.50030876877036,2.510779401017329,,152.3478629479485,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.569175067183664,2.5262607399506325,,152.10499500102432,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.50320228496093,4.225899407509849,,146.7492648847951,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.503192141317694,4.22589907771331,,146.74926488479537,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.613035825413917,4.214087192489505,,146.0323668058902,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.681549790031584,3.851620518236835,,147.69551279340527,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.791490475044762,3.8360588298335823,,147.44388704344294,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,8.290096466848663,4.853352881063461,,150.29248654693512,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,8.290087699486929,4.853353524671577,,150.29248654692063,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,8.395970464052054,4.776657244146737,,149.60796630332848,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,8.395974427421594,4.776655770533211,,149.60796630334204,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.395961882326134,4.776651956774185,,149.6079663032977,NH
CAF-657,forage_phonologicalstatic,8.573727650982603,1.3735402635454443,0.0121921433601408,156.21805981743762,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.86571310088255,3.3584771086208285,-0.0069844467445179,149.45973817617937,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.898129173761562,3.4652386903181545,-0.0321421172984223,149.3436844257519,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.814811047052286,3.328127083719972,0.0517878822927961,149.3273191040276,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.499571821929276,1.2647439449497366,0.0135823507453353,156.76779940214502,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.478302375027603,1.2464630266641357,0.0286385139620374,156.664824261495,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.509480771654658,1.280247559811968,-2.09844049763241,156.09252340940304,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.391556622675814,1.4533114759170631,0.0143742672649773,156.59110888689648,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.323702464253778,1.361257496543692,0.0849848646509858,155.63996183076424,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.430842733883361,1.473042729466428,-2.3900240135318507,153.67965293921168,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.391563968587866,1.4533150588733237,0.0143742682938683,156.59110888688076,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,8.323705385270063,1.3612594455851412,0.0849848035171334,155.63996183076583,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,8.430834119302315,1.4730371867762082,-2.2433359078907142,153.67965307523863,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,8.852495928926327,2.683431680336808,0.0067664302306193,152.9353645825706,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,8.818918671140255,2.585681713221213,0.0425170645892089,152.70637964640272,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,8.918570449800296,2.7057185994596487,-0.0960439292039454,152.5461242112874,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,8.852500095534905,2.683431000317919,0.0067664484943479,152.93536458256702,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,8.818924467463868,2.585681403110574,0.0425170923488378,152.70637964640156,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,8.918560784783843,2.70571728451895,-0.0960439254512524,152.54612421129778,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,8.852501179917112,2.6834316970657954,0.006766422875364,152.93536458256744,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,8.818919131933898,2.58568134683895,0.042517047948551,152.70637964640193,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,8.918563618735737,2.705716117380164,-0.0960439491974527,152.54612421129215,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,8.746337885017146,3.3278684414222344,-0.0053764279576696,149.88748313010262,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,8.754002204638361,3.367669357125899,-0.0148577754406655,149.8667999750949,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,8.725527144120782,3.305094885851119,0.0138614902743141,149.88140513020417,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,8.746333783809359,3.3278672924192567,-0.0053764102540605,149.8874831301015,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,8.754006684216165,3.36767047219366,-0.0148577731711564,149.86679997507747,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,8.72552459842793,3.305093898003878,0.0138614219027694,149.88140513020534,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.8,8.86571903821195,3.35847652399539,-0.0069844710874063,149.45973817618008,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.8,8.898116814093308,3.4652379917661973,-0.032142086243977,149.34368442576343,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.8,8.814807277210406,3.3281262772467697,0.0517878714244422,149.32731910403078,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.9,8.865719825426307,3.358477279670105,-0.0069844714664107,149.45973817618267,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.9,8.898133386709931,3.465237709429454,-0.0321421356825303,149.34368442576076,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.9,8.814811726426113,3.32812915523396,0.0517878082387874,149.3273191040331,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=1.0,8.8657116810935,3.358476968149684,-0.0069844652538091,149.45973817618054,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,8.898117000728307,3.465237108884508,-0.0321420838379638,149.34368442576266,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,8.814812105291917,3.328127605526127,0.0517879327974736,149.3273191040284,NH
CAF-657,forage_phonologicaldynamicglobal_norms_associative,8.358427815586792,2.733783131342124,0.012439142381468,155.4837211343856,NH
CAF-657,forage_phonologicaldynamiclocal_norms_associative,8.379150674424169,2.8028434757893144,-0.0109238542533869,155.50221471045631,NH
CAF-657,forage_phonologicaldynamicswitch_norms_associative,8.359447407864616,2.7700259508612124,0.0294994331538737,155.42219324148303,NH
CAF-657,forage_phonologicaldynamicglobal_norms_categorical,8.13846852804257,1.913303732292282,0.0132749860942946,156.47958252500902,NH
CAF-657,forage_phonologicaldynamiclocal_norms_categorical,8.148593638124426,1.9301674230935968,0.0047112855796274,156.50840861282325,NH
CAF-657,forage_phonologicaldynamicswitch_norms_categorical,8.14718790981462,1.9393240110838643,0.0203617926913456,156.4707306279458,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,8.66751281736175,3.353908458297533,-0.0068546680216982,150.38511935146806,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,8.76239315672188,3.676028554986525,-0.0799935422523201,149.76229048768235,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,8.566019261900653,3.322666500127128,0.1037115293175801,149.66814514993484,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,8.378887470310099,2.698968645971793,-0.0021995955151114,152.06971724618248,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,8.450524605469152,2.8791268223032818,-0.0585734101963779,151.71002205341887,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,8.315956695531282,2.6921681720066366,0.0963012758684259,151.49353608553417,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,8.465862910042116,2.751563907632665,-0.0021026849523551,151.42087473422853,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,8.515866445423343,2.864723610426064,-0.0377911071406854,151.25567906843713,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,8.431666726736694,2.744943106612937,0.0758337227451246,151.10654651204266,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.75,8.49925411059809,2.509110229417046,0.0005901630072695,152.34780264091114,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,8.56389401429637,2.6295467218612765,-0.0420468870280603,152.13252495238694,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.75,8.461475773401341,2.510406666148911,0.1115404605880095,151.7475112448512,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=1.0,8.56962037415885,2.526890387506548,-0.0002247242999263,152.10498626244598,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,8.654710714395868,2.673401613702892,-0.0522813273563405,151.76071319606132,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=1.0,8.505605984700313,2.525333974166427,0.1642513685011557,151.0009907476873,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.0,8.667501367757378,3.353903232182064,-0.0068545538730822,150.3851193514603,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.0,8.762403943063573,3.67603533509442,-0.079993746370407,149.76229048768155,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.0,8.566029614172129,3.322667545980916,0.103711518908589,149.66814514991708,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.25,8.378884086800996,2.698968582051724,-0.0021995784686447,152.06971724618106,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.25,8.450524280750418,2.879126891762076,-0.0585733887556537,151.71002205341958,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.25,8.315958945520059,2.69216910851324,0.0963013516723458,151.49353608553722,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.5,8.465865454292254,2.751563762826003,-0.0021027186188963,151.42087473422666,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.5,8.515855841214359,2.8647230660938594,-0.0377910948905229,151.25567906843324,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.5,8.431664396775526,2.7449413421646582,0.0758338251282245,151.1065465120351,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.75,8.499258364979495,2.509111668807162,0.0005901318563778,152.34780264092603,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.75,8.563888798698652,2.629545437744576,-0.0420468772357552,152.1325249523901,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.75,8.461477758929584,2.510409085602761,0.1115404690122428,151.74751124484922,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=1.0,8.569617068929078,2.526891926210192,-0.000224755483113,152.10498626244674,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=1.0,8.654712738998665,2.6734032358801336,-0.0522813512662195,151.76071319605435,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=1.0,8.50561904421679,2.5253372219422414,0.1642513001625319,151.0009907476799,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.0,8.667505656285602,3.353907039019457,-0.0068546113220226,150.38511935145138,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.0,8.762401758222559,3.676030846501008,-0.079993614656209,149.7622904876721,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.0,8.566030695553229,3.322669245396946,0.1037115381960385,149.6681451499198,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.25,8.378880204235454,2.698967835753573,-0.0021995851968097,152.06971724618626,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.25,8.450517702033578,2.879123900673417,-0.0585732774365404,151.71002205344402,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.25,8.31595242350275,2.6921664197089354,0.0963013504784534,151.49353608553764,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.5,8.465855073131475,2.7515615413819883,-0.002102673884667,151.42087473426068,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.5,8.515848986826745,2.864721063279013,-0.0377910028080794,151.25567906845993,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.5,8.431651814676266,2.7449416141045573,0.0758337906002452,151.10654651204632,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.75,8.499252418877147,2.5091103619098227,0.0005901313350134,152.347802640908,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.75,8.56388833073806,2.629546688841761,-0.0420468945780122,152.1325249523889,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.75,8.461483035176892,2.510408711531473,0.1115405051641321,151.747511244855,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=1.0,8.569614408179357,2.5268916793173224,-0.0002247377788458,152.10498626244984,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=1.0,8.654713683537835,2.6734040924493745,-0.0522813566398897,151.76071319605325,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=1.0,8.505622303639958,2.5253364155951177,0.1642514083252525,151.00099074768983,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=0.0,8.554292811476092,4.377248515165337,-0.024983849299425,146.64627743316998,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.0,8.71943692427217,5.550859538668381,-0.2034871583924411,144.07199122285337,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.0,8.37840043701614,4.227546379274294,0.1318097189250686,145.37258690192402,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=0.25,8.554266011623492,4.377248444319465,-0.0249838193340093,146.64627743317885,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.25,8.719442977061778,5.550858265875242,-0.2034871280315565,144.07199122285374,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.25,8.378401779729801,4.22754726065152,0.1318096657302751,145.37258690192485,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=0.5,8.66045438471817,4.359269889099594,-0.0243946465482042,145.933947822685,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.5,8.79027927660693,5.1687067601452,-0.1507160757245193,144.24694255716994,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.5,8.523611833276297,4.214999381396227,0.1186304076037638,145.0036368796505,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=0.75,8.716352405725445,3.9447867615438175,-0.017279514506892,147.6449658632112,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.75,8.858520495762518,4.629654531011908,-0.1379454920430827,146.0428866737751,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.75,8.580171066548488,3.8516010816662254,0.1513209929806282,146.21606154869002,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=1.0,8.831396630768516,3.929907125549642,-0.0177505769600038,147.390440430106,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=1.0,9.004401549086479,4.639129055057535,-0.1459927429160786,145.50750783328084,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=1.0,8.655425874407488,3.834974145275632,0.1978250982877412,145.28527034622138,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.0,8.296921992342044,4.897535212802339,-0.0066224652417533,150.2851140556995,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.0,8.334813050676184,6.180840618220636,-0.1789160472780188,148.98937302178774,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.0,8.243148913719418,4.854479845892974,0.0577024261171673,149.89296209020537,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.25,8.296921702297603,4.897538131559374,-0.0066224537784316,150.28511405569833,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.25,8.33482484748966,6.180838146835164,-0.1789158523633896,148.98937302175244,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.25,8.243141344021417,4.854485491909295,0.0577024620156054,149.892962090204,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.5,8.401191563547233,4.813475945646559,-0.0057195256246949,149.6024531010066,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.5,8.430148893888214,5.511993977822278,-0.1060141857266485,149.00184063731103,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.5,8.368412920523708,4.777207939507823,0.0452829979337199,149.37879737810363,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.75,8.401189986626742,4.813476305720933,-0.0057195417105943,149.60245310100666,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.75,8.430148041328177,5.511994851491389,-0.1060141715646542,149.00184063731166,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.75,8.368416554442911,4.777205490766384,0.0452830285490955,149.37879737811292,NH
CAF-657,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=1.0,8.401181492146186,4.813476835024668,-0.0057195459092509,149.6024531010242,NH
CAF-657,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=1.0,8.430144058065023,5.511995130529438,-0.1060141809271714,149.00184063731336,NH
CAF-657,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=1.0,8.368402371886319,4.777204993948004,0.0452830401376,149.37879737808984,NH
CAF-657,forage_random_baseline,0.0,0.0,,171.85635751441467,NH
CAJ-663,forage_static,7.771352493392057,1.4734170257897468,,90.61279726939182,NH
CAJ-663,forage_dynamic_simdrop,7.763527169321977,2.214738916687839,,89.91415147349782,NH
CAJ-663,forage_dynamic_multimodal_alpha=0.0,7.659224400854983,1.499129676198097,,90.74649791964438,NH
CAJ-663,forage_dynamic_multimodal_alpha=0.1,7.660341459000161,1.9910155787388568,,90.4624666018992,NH
CAJ-663,forage_dynamic_multimodal_alpha=0.2,7.660327937787759,1.991011599000959,,90.46246660189472,NH
CAJ-663,forage_dynamic_multimodal_alpha=0.30000000000000004,7.763520083378368,2.214738299754361,,89.91415147349419,NH
CAJ-663,forage_dynamic_multimodal_alpha=0.4,7.763534209929381,2.214742066693711,,89.91415147351672,NH
CAJ-663,forage_dynamic_multimodal_alpha=0.5,7.763527420798965,2.214738876328217,,89.91415147349818,NH
CAJ-663,forage_dynamic_multimodal_alpha=0.6000000000000001,7.763534667855109,2.2147503494451573,,89.91415147357017,NH
