Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.634789652473696,1.3089359456773246,,156.6062348772359,NH
CAF-657,forage_dynamic_simdrop,8.744849222650645,2.9490706594968263,,149.1766083213352,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.492068344068391,1.165757091294342,,157.43152342007832,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.455982919450928,1.650719904820598,,155.929332603941,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.455995169737397,1.6507211801626325,,155.92933260393195,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.838190277276222,2.362075975346872,,153.5723630850787,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.838197084704701,2.362075655475676,,153.57236308508138,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.847665826625976,2.625172555359576,,152.38392693301978,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.718830100930763,2.8222039062295954,,150.189182454861,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.71883376990719,2.822206516609621,,150.1891824548772,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.744846618386187,2.949069908072041,,149.1766083213422,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.744852235655367,2.9490704731832085,,149.17660832133046,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.744863874003693,2.9490709061199523,,149.176608321344,NH
CAF-657,forage_dynamic_norms_associative,8.493214885201473,3.661028848266275,,150.722398938689,NH
CAF-657,forage_dynamic_norms_categorical,8.06160257765689,2.757395259650895,,153.04240770000874,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.303408529881308,3.160531077371711,,149.2989255752879,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.419443557385986,3.198989885629622,,148.6158108656301,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.126006404187843,2.681476519524706,,150.57073957940557,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.283271266770795,2.546809425347427,,151.0401614136556,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.420867699102764,2.3125161154726026,,152.0296241118648,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.181596646134459,3.6433203644125287,,147.45132645290587,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.311347848934725,3.6712642516405567,,146.7336275246966,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.311360223879825,3.671264939867003,,146.73362752471468,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.514675965532934,3.449013220558936,,147.59306068384004,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.635076857378063,3.082105056990059,,149.22285437820355,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,7.93195659931446,3.7749401086676153,,147.9562979330459,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.060456333881637,3.798773323302937,,147.24309482166964,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.060466886207825,3.798773542575975,,147.24309482168832,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.4365009013857,3.51834629639454,,147.67104151693988,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.578029619851145,3.4674140611264685,,147.72744734278453,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.010984581887366,3.8605982758835298,,148.97196904408332,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.145090746080228,3.886637304290438,,148.25024017484864,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.145089241407494,3.8866386296315714,,148.2502401748462,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.145083113547008,3.886634148995415,,148.2502401748551,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.578007584181067,3.467411204946649,,147.7274473428123,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,7.83703888175054,4.60074985143546,,150.47923303227842,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,7.984859758067128,4.585899041901679,,149.75277350656216,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,7.984846779601711,4.585899817815142,,149.75277350654193,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,7.984844998919685,4.585896523351672,,149.75277350654406,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,7.984856037331091,4.585897730879919,,149.75277350654918,NH
CAF-657,forage_phonologicalstatic,8.586158488216213,1.2700924478213371,0.0211381863013828,156.52476934375224,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.76091141946675,2.977357343136671,-0.0063976576235762,149.16949197171303,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.87242106714934,3.186345741130419,-0.0520222359935393,148.87338948637804,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.73466194820102,2.949066465236648,0.0825327641280139,148.77606270066718,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.443328241696896,1.126802594626104,0.0242707284019406,157.32389228337868,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.419588457641835,1.1023995605746546,0.0397551437800498,157.16043792184493,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.519763840198463,1.1677030325099895,-2.0096070663831824,156.70750984210764,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.41748784273484,1.6078863852082466,0.0198225414078694,155.85830623421256,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.302935025620776,1.4635472403305343,0.0892698737384231,154.81120320863005,NH
