Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.698624191813627,1.2322750794030626,,162.6991231212014,NH
CAF-657,forage_dynamic_simdrop,8.6058772211375,2.2293592958799278,,158.21517673789504,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.591916232978553,1.1937972500612537,,163.0758485751837,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.576603337116083,1.884024717316019,,160.64941758959077,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.57661302168425,1.8840259741630176,,160.64941758957156,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.669623793155907,1.9394396249394128,,160.11033908229476,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.643829091663932,2.090433159164656,,159.5211243917557,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.643819664743269,2.0904322430081668,,159.52112439175957,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.643824534336723,2.0904323680129613,,159.5211243917525,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.64382567682621,2.0904335585560725,,159.5211243917533,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.576139404943897,2.238134138651444,,158.23217010211098,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.687190590417782,2.244575726735331,,157.97652403849793,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.605872429617486,2.229359887416132,,158.21517673790456,NH
CAF-657,forage_dynamic_norms_associative,8.583049131675768,3.599473589266283,,156.50540797276528,NH
CAF-657,forage_dynamic_norms_categorical,8.188193575196228,2.502028542014024,,159.51449855386943,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.219452984761576,2.494817295604059,,157.9541365974497,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.391153473885812,2.453312152097945,,157.13142602151885,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.39115225206699,2.4533129884700737,,157.13142602151976,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.552613076159446,2.331768179894201,,157.43721283512505,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.641774944201448,2.294093183330743,,157.3788348954257,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.406141374357022,3.171917313286319,,155.88052828478956,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.596452973027343,3.0219547671612625,,155.1839243259986,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.596440690709546,3.021953215757314,,155.18392432598492,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.849447913749666,2.8754527925383,,155.11766624780086,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.95341207317245,2.811830877792448,,155.1288587187251,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.345250364265045,3.9075311329630256,,155.04713801693651,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.445915719701507,3.9719283996935455,,153.91702009274246,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.445935283834185,3.9719289930943495,,153.9170200927358,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.740311503129087,3.5889240346945948,,154.3148764511985,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.846953178047308,3.444250232883128,,154.4959082104982,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.345249125198922,3.907531048150233,,155.0471380169377,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.44591687460618,3.971930420405582,,153.91702009273732,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.44592634230739,3.971929171789488,,153.91702009271802,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.740316926403617,3.588922782683454,,154.31487645119398,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.846948350876826,3.444252352376389,,154.49590821048636,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,8.41110560730898,4.000025755249268,,156.35430520604135,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,8.411105008296781,4.000027178175616,,156.35430520604024,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,8.411101634182295,4.000025449399892,,156.3543052060495,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,8.468772389093148,3.527362010442585,,157.61231611053367,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.570393373955653,3.341903781525619,,157.78220577249365,NH
CAF-657,forage_phonologicalstatic,8.649345108375002,1.1999671770946103,0.0236865044428963,162.59598413679856,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.582736088146389,2.2011960362482346,0.0107444370480263,158.19444898790516,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.635554093370573,2.270927544785988,-0.0157207992815373,158.18430301143545,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.58223887046707,2.229022372007891,0.0723453959880703,157.9287424207114,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.546480392702884,1.1631656434711823,0.0251655916330882,162.95933296781806,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.51888963637709,1.1443517604416569,0.0404015949146169,162.7940303622496,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.583511673121793,1.193065108839442,-1.9752247504688456,162.36843739410668,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.54267972836447,1.8458655016014356,0.0197930133350449,160.577957656592,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.452946083620786,1.736431606174072,0.0777633278771205,159.839405506625,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.579300954261072,1.8841416049549828,-0.181158789999913,159.5830514313309,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.542679259017222,1.8458642704103256,0.0197930526940798,160.5779576565901,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,8.45295239534357,1.736430368567498,0.0777633289219776,159.8394055066328,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,8.579297869891308,1.8841433806130825,-0.1811586881393171,159.58305143132773,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,8.63555516968034,1.902538310194607,0.01837542694598,160.04882848819713,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,8.558762971158265,1.812854201809975,0.0637885300629099,159.53857071686184,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,8.674478581929778,1.939648743246856,-0.1639265222726319,159.2990942302078,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,8.612830366607518,2.0545715571843988,0.0163539199849374,159.47260542515124,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,8.572137392233023,1.990068680521836,0.046400723329193,159.23662986758552,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,8.661461695293545,2.091072152161928,-0.068002588489317,159.31592975676568,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,8.612827486489898,2.0545707667717594,0.0163539710010474,159.47260542515454,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,8.572128540966602,1.9900665648660167,0.0464007806306944,159.23662986759953,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,8.661474131146722,2.091074993919116,-0.0680024841267552,159.31592975673587,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,8.612827285912262,2.054570515510175,0.0163539433697182,159.47260542515542,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,8.572132760251433,1.9900686361836903,0.0464007036703928,159.23662986758765,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,8.661473014664068,2.0910741870876484,-0.0680027018966725,159.31592975673522,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,8.612831217646015,2.05457133539401,0.016353905588441,159.47260542515156,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,8.57213700497568,1.9900684305262235,0.0464007479064799,159.236629867585,NH
