Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.743565246939237,1.133683394176933,,162.91275116722716,NH
CAF-657,forage_dynamic_simdrop,8.938013207951474,2.2820307615672197,,158.20717922678554,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.613083653478064,1.051487906848927,,163.45229465359435,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.560381943168922,1.4073815292732117,,162.4782215735969,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.560388184754254,1.4073845354032797,,162.47822157361225,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,9.114372412831576,2.0754000600378024,,160.10946882309526,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,9.113980988038872,2.223270188895703,,159.58880786247084,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,9.113980902201195,2.223271008446144,,159.58880786247028,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,9.113988597786388,2.2232724790709475,,159.58880786247596,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,9.11398567891722,2.223273434863719,,159.58880786247633,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,9.012451767301192,2.3217368836447814,,158.27034213512889,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.92151502659415,2.348049087349151,,158.22853682015733,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.938021441524135,2.282032725923868,,158.20717922676744,NH
CAF-657,forage_dynamic_norms_associative,8.661247221148,3.346573773899521,,155.9785508185699,NH
CAF-657,forage_dynamic_norms_categorical,8.229051413265513,2.2171783144250665,,159.97210944357374,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.435783561776757,3.2537335034865644,,153.32386430284265,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.68861898483436,3.10150615890137,,153.29389559950363,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.68862790770754,3.10150821093126,,153.29389559949377,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.688617245179477,3.101507822239337,,153.2938955995008,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,9.052439200290689,2.771301544763374,,155.04811131662396,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.32723686415657,3.256524311364979,,153.7634658255944,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.58735378675035,3.0966404619202863,,153.74372925945278,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.587350957762597,3.09663983415258,,153.743729259445,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.587353991014263,3.0966396338945468,,153.74372925945224,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,9.052435415879824,2.7713032878679367,,155.04811131661447,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.44097774157561,3.6362392300160473,,153.05891974723673,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.707133760379921,3.404664207294697,,153.19779533048393,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.70712960927325,3.4046644433283824,,153.19779533048217,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.70712248163552,3.404663696359984,,153.19779533049564,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,9.05243119167163,2.771300337127696,,155.04811131660864,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.390397759669135,3.696177400006604,,155.30982579653391,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.637191096070822,3.413280443618229,,155.47362845378697,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.6371732365929,3.4132797741093155,,155.47362845380283,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.637188887697134,3.413278173944172,,155.47362845378453,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.731228999851076,2.6961640928340143,,157.60520942015285,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,7.857642230863885,3.81005941086924,,159.79238737164272,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,8.109645738576866,3.545335125826791,,157.69566131227148,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,8.109656209003052,3.5453364878705806,,157.69566131225525,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,8.10966229005301,3.5453367497981447,,157.69566131226813,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.233042770698246,3.3534009681968717,,157.74724557187676,NH
CAF-657,forage_phonologicalstatic,8.692576432119942,1.1012830730001373,0.0233154223872304,162.8130165404623,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.915102898321198,2.2542431934806517,0.008723433811836,158.1934791825845,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.925334287061515,2.261412490743068,0.0065077009276518,158.20198412367577,NH
