Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.29054526255588,1.545410943827715,,162.59859424175244,NH
CAF-657,forage_dynamic_simdrop,8.524518100246878,3.620876008033445,,156.68197571428055,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.170406832088538,1.3371049320174393,,163.4090097011132,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.024547668977025,1.3335192733008143,,163.72644739994067,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.024547484444959,1.333522591069788,,163.726447399938,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.413738600067429,2.841206965628148,,160.17878199479625,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.477150690594186,3.4608520386322152,,157.4154771387168,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.477159796107454,3.460851724695479,,157.41547713870509,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.42411926662858,3.644413667826977,,156.85021005866287,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.424135519434023,3.6444198353571577,,156.85021005863808,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.424133577764854,3.644417216122128,,156.8502100586302,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.424112741573053,3.6444092294095456,,156.85021005872863,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.524508206957169,3.620868070750808,,156.68197571426822,NH
CAF-657,forage_dynamic_norms_associative,8.174388851581815,4.460918988754256,,158.65781289012338,NH
CAF-657,forage_dynamic_norms_categorical,7.926879142955628,2.439369225612149,,162.04475991234486,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,7.990518946436696,5.94052388958561,,150.7754713997041,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,7.990523395632595,5.940522245257362,,150.77547139971713,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.084933523744935,5.857035379469476,,150.28702070440488,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.228680228579979,5.549861864255829,,150.1261601968048,NH
