Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.263370523113037,1.4471163335163175,,162.86486142674855,NH
CAF-657,forage_dynamic_simdrop,8.529705871923408,3.471117832621545,,157.19269920615756,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.138416956005024,1.236137508876237,,163.6398594193381,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.001933549585676,1.2333603455778177,,163.91904923101265,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.001925520535986,1.2333580368075203,,163.91904923102007,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.397062975823765,2.7005153028370987,,160.52396190112324,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.422693220433848,2.810474064115318,,159.8187875765937,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.477147802532038,3.30332779872608,,157.93362626768675,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.432104837886296,3.497497355034312,,157.33737653335368,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.432099702781795,3.4974933710457075,,157.33737653336576,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.432110247347254,3.4974907576411165,,157.33737653337562,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.432097756878477,3.497493394807591,,157.33737653337144,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.52971962084927,3.471122565906778,,157.1926992061719,NH
CAF-657,forage_dynamic_norms_associative,8.178221953409114,4.334300192309418,,158.89070099579936,NH
CAF-657,forage_dynamic_norms_categorical,7.9301713651137,2.3180598442837037,,162.28328639136402,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.024034988160041,5.82765198071493,,151.22448136602262,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.024015951522124,5.827640217185718,,151.22448136604302,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.119729973305729,5.74355373954551,,150.7501331676237,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.263898673602288,5.452525964452916,,150.52252248940002,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.54188540786534,4.551757481626489,,152.34763576701084,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.024028747480033,5.827647085699885,,151.22448136599675,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.024021721473977,5.827640582452551,,151.22448136601713,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.119725035698535,5.743556116152235,,150.75013316761934,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.263890693583193,5.452525605894502,,150.52252248936733,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.54187349634893,4.551751197036101,,152.34763576699552,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,7.9617924050524,5.982258986312481,,152.4342682101723,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,7.961813598734236,5.982276375719269,,152.43426821004104,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.054485395791062,5.878517236665249,,151.9717491800946,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.193487031290612,5.536093750582779,,151.7746874219961,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.367094348076165,5.131686931860701,,152.146862401407,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,7.860056236860204,6.035965436468862,,154.7392337894876,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,7.8600539942941,6.035942614903163,,154.73923378957448,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,7.955268177050456,5.9051967450814224,,154.28300486540917,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,7.998617317087234,6.029902751733114,,152.96261024436043,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.284391195020419,5.513749617938268,,151.7487400591598,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,7.860057964597355,6.035955428912117,,154.73923378948024,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,7.860068057935383,6.03595652440078,,154.73923378947077,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,7.955282890227856,5.905204319901924,,154.28300486540329,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,7.998619618229122,6.029899428970991,,152.9626102443644,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.284388405660359,5.513757091011425,,151.74874005913645,NH
CAF-657,forage_phonologicalstatic,8.234031096974402,1.4254650999144898,0.0295568503873926,162.7037690506995,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.499890727071408,3.409525776149184,0.0210689960625248,157.10935472263844,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.526899005114826,3.4616580298463555,0.003285574643134,157.1912014175806,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.487232418483012,3.46968036241566,0.0742114458340996,156.93314498517307,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.11278448669283,1.2211734233526954,0.0304295399271277,163.46934392697105,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.099552682074794,1.2130164230876908,0.0460468609944365,163.2734489862696,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.12996750270009,1.2354946628302386,-1.743763702007865,162.9307786245816,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,7.977160659211501,1.2183723960907973,0.0306789509440236,163.74583746767462,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,7.942515398393891,1.1747405626051808,0.1108718160449402,162.1782275391818,NH
