Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std,Group
CAF-657,0.5678032468136294,0.1820032837132282,6.466508342749999,0.6755619195407532,0.1686363636363636,0.0587934906724761,28.0,delta_rise=0.0_fall=0.0,11,2.5454545454545454,1.0756508696544755,NH
CAF-657,,,,,,,,delta_rise=0.0_fall=0.25,10,2.8,1.469693845669907,NH
CAF-657,,,,,,,,delta_rise=0.0_fall=0.5,7,4.0,1.5118578920369088,NH
CAF-657,,,,,,,,delta_rise=0.0_fall=0.75,6,4.0,1.5118578920369088,NH
CAF-657,,,,,,,,delta_rise=0.0_fall=1.0,4,5.6,1.4966629547095764,NH
CAF-657,,,,,,,,delta_rise=0.25_fall=0.0,13,2.1538461538461537,1.0986812966989,NH
CAF-657,,,,,,,,delta_rise=0.25_fall=0.25,11,2.5454545454545454,1.5587661999529314,NH
CAF-657,,,,,,,,delta_rise=0.25_fall=0.5,10,2.8,1.7776388834631178,NH
CAF-657,,,,,,,,delta_rise=0.25_fall=0.75,9,2.8,1.7776388834631178,NH
CAF-657,,,,,,,,delta_rise=0.25_fall=1.0,4,5.6,1.4966629547095764,NH
CAF-657,,,,,,,,delta_rise=0.5_fall=0.0,15,1.8666666666666667,1.14697670227235,NH
CAF-657,,,,,,,,delta_rise=0.5_fall=0.25,15,1.8666666666666667,1.14697670227235,NH
CAF-657,,,,,,,,delta_rise=0.5_fall=0.5,14,2.0,1.4142135623730951,NH
CAF-657,,,,,,,,delta_rise=0.5_fall=0.75,13,2.0,1.4142135623730951,NH
CAF-657,,,,,,,,delta_rise=0.5_fall=1.0,7,3.5,2.39791576165636,NH
CAF-657,,,,,,,,delta_rise=0.75_fall=0.0,16,1.75,1.14564392373896,NH
CAF-657,,,,,,,,delta_rise=0.75_fall=0.25,16,1.75,1.14564392373896,NH
CAF-657,,,,,,,,delta_rise=0.75_fall=0.5,14,2.0,1.4142135623730951,NH
CAF-657,,,,,,,,delta_rise=0.75_fall=0.75,13,2.0,1.4142135623730951,NH
CAF-657,,,,,,,,delta_rise=0.75_fall=1.0,7,3.5,2.39791576165636,NH
CAF-657,,,,,,,,delta_rise=1.0_fall=0.0,17,1.6470588235294117,1.1345471483521123,NH
CAF-657,,,,,,,,delta_rise=1.0_fall=0.25,17,1.6470588235294117,1.1345471483521123,NH
CAF-657,,,,,,,,delta_rise=1.0_fall=0.5,15,1.8666666666666667,1.4079141387961918,NH
CAF-657,,,,,,,,delta_rise=1.0_fall=0.75,14,1.8666666666666667,1.4079141387961918,NH
CAF-657,,,,,,,,delta_rise=1.0_fall=1.0,12,2.1538461538461537,1.8332885058173825,NH
CAF-657,,,,,,,,multimodal_alpha=0.0,2,9.333333333333334,6.599663291074444,NH
CAF-657,,,,,,,,multimodal_alpha=0.1,9,2.8,1.1661903789690602,NH
CAF-657,,,,,,,,multimodal_alpha=0.2,9,2.8,1.1661903789690602,NH
CAF-657,,,,,,,,multimodal_alpha=0.30000000000000004,9,2.8,0.9797958971132712,NH
CAF-657,,,,,,,,multimodal_alpha=0.4,9,2.8,0.9797958971132712,NH
CAF-657,,,,,,,,multimodal_alpha=0.5,10,2.5454545454545454,0.6555547773570889,NH
CAF-657,,,,,,,,multimodal_alpha=0.6000000000000001,9,2.8,0.9797958971132712,NH
CAF-657,,,,,,,,multimodal_alpha=0.7000000000000001,9,2.8,0.9797958971132712,NH
CAF-657,,,,,,,,multimodal_alpha=0.8,9,2.8,0.9797958971132712,NH
CAF-657,,,,,,,,multimodal_alpha=0.9,9,2.8,0.9797958971132712,NH
CAF-657,,,,,,,,multimodal_alpha=1.0,9,2.8,0.9797958971132712,NH
CAF-657,,,,,,,,norms_associative,16,1.75,1.0897247358851685,NH
CAF-657,,,,,,,,norms_categorical,15,1.8666666666666667,1.2036980056845192,NH
CAF-657,,,,,,,,simdrop,9,2.8,0.9797958971132712,NH
CAJ-663,0.5144384846846939,0.1818662771707479,6.3768877516,0.5534749914937721,0.21406,0.0689835117175756,20.0,delta_rise=0.0_fall=0.0,9,2.0,0.8944271909999159,NH
CAJ-663,,,,,,,,delta_rise=0.0_fall=0.25,8,2.2222222222222223,1.547598697464902,NH
CAJ-663,,,,,,,,delta_rise=0.0_fall=0.5,8,2.2222222222222223,1.547598697464902,NH
CAJ-663,,,,,,,,delta_rise=0.0_fall=0.75,8,2.2222222222222223,1.547598697464902,NH
CAJ-663,,,,,,,,delta_rise=0.0_fall=1.0,6,2.857142857142857,2.231499907401901,NH
CAJ-663,,,,,,,,delta_rise=0.25_fall=0.0,10,1.818181818181818,0.8331955809010619,NH
CAJ-663,,,,,,,,delta_rise=0.25_fall=0.25,8,2.2222222222222223,1.547598697464902,NH
CAJ-663,,,,,,,,delta_rise=0.25_fall=0.5,8,2.2222222222222223,1.547598697464902,NH
CAJ-663,,,,,,,,delta_rise=0.25_fall=0.75,8,2.2222222222222223,1.547598697464902,NH
CAJ-663,,,,,,,,delta_rise=0.25_fall=1.0,6,2.857142857142857,2.231499907401901,NH
CAJ-663,,,,,,,,delta_rise=0.5_fall=0.0,15,1.25,0.4330127018922193,NH
CAJ-663,,,,,,,,delta_rise=0.5_fall=0.25,15,1.25,0.4330127018922193,NH
CAJ-663,,,,,,,,delta_rise=0.5_fall=0.5,15,1.25,0.4330127018922193,NH
CAJ-663,,,,,,,,delta_rise=0.5_fall=0.75,15,1.25,0.4330127018922193,NH
CAJ-663,,,,,,,,delta_rise=0.5_fall=1.0,13,1.4285714285714286,0.8206518066482897,NH
CAJ-663,,,,,,,,delta_rise=0.75_fall=0.0,16,1.1764705882352942,0.3812200410828153,NH
CAJ-663,,,,,,,,delta_rise=0.75_fall=0.25,16,1.1764705882352942,0.3812200410828153,NH
CAJ-663,,,,,,,,delta_rise=0.75_fall=0.5,16,1.1764705882352942,0.3812200410828153,NH
CAJ-663,,,,,,,,delta_rise=0.75_fall=0.75,16,1.1764705882352942,0.3812200410828153,NH
CAJ-663,,,,,,,,delta_rise=0.75_fall=1.0,14,1.3333333333333333,0.7888106377466155,NH
CAJ-663,,,,,,,,delta_rise=1.0_fall=0.0,16,1.1764705882352942,0.3812200410828153,NH
CAJ-663,,,,,,,,delta_rise=1.0_fall=0.25,16,1.1764705882352942,0.3812200410828153,NH
CAJ-663,,,,,,,,delta_rise=1.0_fall=0.5,16,1.1764705882352942,0.3812200410828153,NH
CAJ-663,,,,,,,,delta_rise=1.0_fall=0.75,16,1.1764705882352942,0.3812200410828153,NH
CAJ-663,,,,,,,,delta_rise=1.0_fall=1.0,14,1.3333333333333333,0.7888106377466155,NH
CAJ-663,,,,,,,,multimodal_alpha=0.0,2,6.666666666666667,2.494438257849294,NH
CAJ-663,,,,,,,,multimodal_alpha=0.1,6,2.857142857142857,1.124858267715973,NH
CAJ-663,,,,,,,,multimodal_alpha=0.2,6,2.857142857142857,1.124858267715973,NH
CAJ-663,,,,,,,,multimodal_alpha=0.30000000000000004,5,3.333333333333333,1.5986105077709063,NH
CAJ-663,,,,,,,,multimodal_alpha=0.4,5,3.333333333333333,1.5986105077709063,NH
CAJ-663,,,,,,,,multimodal_alpha=0.5,5,3.333333333333333,1.5986105077709063,NH
CAJ-663,,,,,,,,multimodal_alpha=0.6000000000000001,5,3.333333333333333,1.5986105077709063,NH
CAJ-663,,,,,,,,multimodal_alpha=0.7000000000000001,5,3.333333333333333,1.5986105077709063,NH
CAJ-663,,,,,,,,multimodal_alpha=0.8,5,3.333333333333333,1.247219128924647,NH
CAJ-663,,,,,,,,multimodal_alpha=0.9,5,3.333333333333333,1.247219128924647,NH
CAJ-663,,,,,,,,multimodal_alpha=1.0,4,4.0,1.2649110640673518,NH
CAJ-663,,,,,,,,norms_associative,10,1.818181818181818,0.9359663764533636,NH
CAJ-663,,,,,,,,norms_categorical,11,1.6666666666666667,0.6236095644623235,NH
CAJ-663,,,,,,,,simdrop,4,4.0,1.2649110640673518,NH
CAM-666,0.5842585218415238,0.1645180404541069,6.48513155476,0.6996652114355795,0.2400714285714285,0.1003828291141088,25.0,delta_rise=0.0_fall=0.0,13,1.7857142857142858,0.860113898485164,NH
CAM-666,,,,,,,,delta_rise=0.0_fall=0.25,12,1.9230769230769231,0.9970370305242864,NH
CAM-666,,,,,,,,delta_rise=0.0_fall=0.5,10,2.272727272727273,2.004127971368055,NH
CAM-666,,,,,,,,delta_rise=0.0_fall=0.75,7,3.125,3.059309562630104,NH
CAM-666,,,,,,,,delta_rise=0.0_fall=1.0,4,5.0,6.54217089351845,NH
CAM-666,,,,,,,,delta_rise=0.25_fall=0.0,16,1.4705882352941178,0.6960093862470137,NH
CAM-666,,,,,,,,delta_rise=0.25_fall=0.25,16,1.4705882352941178,0.6960093862470137,NH
CAM-666,,,,,,,,delta_rise=0.25_fall=0.5,11,2.083333333333333,1.9346977943739831,NH
CAM-666,,,,,,,,delta_rise=0.25_fall=0.75,7,3.125,3.059309562630104,NH
CAM-666,,,,,,,,delta_rise=0.25_fall=1.0,4,5.0,6.54217089351845,NH
CAM-666,,,,,,,,delta_rise=0.5_fall=0.0,19,1.3157894736842106,0.5668594533825794,NH
CAM-666,,,,,,,,delta_rise=0.5_fall=0.25,19,1.3157894736842106,0.5668594533825794,NH
CAM-666,,,,,,,,delta_rise=0.5_fall=0.5,15,1.6666666666666667,1.2995725793078616,NH
CAM-666,,,,,,,,delta_rise=0.5_fall=0.75,11,2.272727272727273,2.1780270092201706,NH
CAM-666,,,,,,,,delta_rise=0.5_fall=1.0,5,4.166666666666667,5.785518319236594,NH
CAM-666,,,,,,,,delta_rise=0.75_fall=0.0,20,1.25,0.5361902647381804,NH
CAM-666,,,,,,,,delta_rise=0.75_fall=0.25,20,1.25,0.5361902647381804,NH
CAM-666,,,,,,,,delta_rise=0.75_fall=0.5,20,1.25,0.5361902647381804,NH
CAM-666,,,,,,,,delta_rise=0.75_fall=0.75,18,1.3888888888888888,1.0076865081787252,NH
CAM-666,,,,,,,,delta_rise=0.75_fall=1.0,5,4.166666666666667,5.785518319236594,NH
CAM-666,,,,,,,,delta_rise=1.0_fall=0.0,20,1.25,0.5361902647381804,NH
CAM-666,,,,,,,,delta_rise=1.0_fall=0.25,20,1.25,0.5361902647381804,NH
CAM-666,,,,,,,,delta_rise=1.0_fall=0.5,20,1.25,0.5361902647381804,NH
CAM-666,,,,,,,,delta_rise=1.0_fall=0.75,18,1.3888888888888888,1.0076865081787252,NH
CAM-666,,,,,,,,delta_rise=1.0_fall=1.0,5,4.166666666666667,5.785518319236594,NH
CAM-666,,,,,,,,multimodal_alpha=0.0,1,12.5,6.5,NH
CAM-666,,,,,,,,multimodal_alpha=0.1,9,2.5,1.02469507659596,NH
CAM-666,,,,,,,,multimodal_alpha=0.2,9,2.5,1.02469507659596,NH
CAM-666,,,,,,,,multimodal_alpha=0.30000000000000004,9,2.5,1.02469507659596,NH
CAM-666,,,,,,,,multimodal_alpha=0.4,8,2.7777777777777777,1.314684396244359,NH
CAM-666,,,,,,,,multimodal_alpha=0.5,8,2.7777777777777777,1.314684396244359,NH
CAM-666,,,,,,,,multimodal_alpha=0.6000000000000001,8,2.7777777777777777,1.314684396244359,NH
CAM-666,,,,,,,,multimodal_alpha=0.7000000000000001,8,2.7777777777777777,1.314684396244359,NH
CAM-666,,,,,,,,multimodal_alpha=0.8,8,2.7777777777777777,1.314684396244359,NH
CAM-666,,,,,,,,multimodal_alpha=0.9,8,2.7777777777777777,1.314684396244359,NH
CAM-666,,,,,,,,multimodal_alpha=1.0,7,3.125,1.8328597873268968,NH
CAM-666,,,,,,,,norms_associative,12,2.083333333333333,0.759202798262025,NH
CAM-666,,,,,,,,norms_categorical,11,2.272727272727273,0.616575453011388,NH
CAM-666,,,,,,,,simdrop,7,3.125,1.8328597873268968,NH
CAP-671,0.5547503694478366,0.1500450718405409,6.595618874157895,0.5621615070582914,0.2173749999999999,0.121379649388661,19.0,delta_rise=0.0_fall=0.0,9,2.111111111111111,0.8748897637790901,NH
CAP-671,,,,,,,,delta_rise=0.0_fall=0.25,8,2.375,0.8569568250501305,NH
CAP-671,,,,,,,,delta_rise=0.0_fall=0.5,7,2.375,0.8569568250501305,NH
CAP-671,,,,,,,,delta_rise=0.0_fall=0.75,7,2.375,0.8569568250501305,NH
CAP-671,,,,,,,,delta_rise=0.0_fall=1.0,7,2.375,0.8569568250501305,NH
CAP-671,,,,,,,,delta_rise=0.25_fall=0.0,9,2.111111111111111,0.8748897637790901,NH
CAP-671,,,,,,,,delta_rise=0.25_fall=0.25,8,2.375,0.8569568250501305,NH
CAP-671,,,,,,,,delta_rise=0.25_fall=0.5,7,2.375,0.8569568250501305,NH
CAP-671,,,,,,,,delta_rise=0.25_fall=0.75,7,2.375,0.8569568250501305,NH
CAP-671,,,,,,,,delta_rise=0.25_fall=1.0,7,2.375,0.8569568250501305,NH
CAP-671,,,,,,,,delta_rise=0.5_fall=0.0,11,1.7272727272727273,0.7496555682941201,NH
CAP-671,,,,,,,,delta_rise=0.5_fall=0.25,10,1.9,0.8306623862918074,NH
CAP-671,,,,,,,,delta_rise=0.5_fall=0.5,9,1.9,0.8306623862918074,NH
CAP-671,,,,,,,,delta_rise=0.5_fall=0.75,9,1.9,0.8306623862918074,NH
CAP-671,,,,,,,,delta_rise=0.5_fall=1.0,9,1.9,0.8306623862918074,NH
CAP-671,,,,,,,,delta_rise=0.75_fall=0.0,11,1.7272727272727273,0.7496555682941201,NH
CAP-671,,,,,,,,delta_rise=0.75_fall=0.25,10,1.9,0.8306623862918074,NH
CAP-671,,,,,,,,delta_rise=0.75_fall=0.5,9,1.9,0.8306623862918074,NH
CAP-671,,,,,,,,delta_rise=0.75_fall=0.75,9,1.9,0.8306623862918074,NH
CAP-671,,,,,,,,delta_rise=0.75_fall=1.0,9,1.9,0.8306623862918074,NH
CAP-671,,,,,,,,delta_rise=1.0_fall=0.0,13,1.4615384615384617,0.6343239424027171,NH
CAP-671,,,,,,,,delta_rise=1.0_fall=0.25,12,1.5833333333333333,0.7592027982620249,NH
CAP-671,,,,,,,,delta_rise=1.0_fall=0.5,11,1.5833333333333333,0.7592027982620249,NH
CAP-671,,,,,,,,delta_rise=1.0_fall=0.75,11,1.5833333333333333,0.7592027982620249,NH
CAP-671,,,,,,,,delta_rise=1.0_fall=1.0,11,1.5833333333333333,0.7592027982620249,NH
CAP-671,,,,,,,,multimodal_alpha=0.0,1,9.5,2.5,NH
CAP-671,,,,,,,,multimodal_alpha=0.1,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=0.2,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=0.30000000000000004,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=0.4,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=0.5,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=0.6000000000000001,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=0.7000000000000001,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=0.8,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=0.9,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,multimodal_alpha=1.0,5,3.1666666666666665,1.4624940645653537,NH
CAP-671,,,,,,,,norms_associative,8,2.375,1.4086784586980805,NH
CAP-671,,,,,,,,norms_categorical,9,2.111111111111111,1.286204100310025,NH
CAP-671,,,,,,,,simdrop,5,3.1666666666666665,1.4624940645653537,NH
CAQ-672,0.5832590214669723,0.1490870646262479,6.425805833869566,0.719114660792031,0.2122571428571428,0.0493617550046881,23.0,delta_rise=0.0_fall=0.0,10,2.090909090909091,0.8999540851465151,NH
CAQ-672,,,,,,,,delta_rise=0.0_fall=0.25,9,2.3,1.2688577540449522,NH
CAQ-672,,,,,,,,delta_rise=0.0_fall=0.5,9,2.3,1.2688577540449522,NH
CAQ-672,,,,,,,,delta_rise=0.0_fall=0.75,6,3.2857142857142856,1.6659862556700855,NH
CAQ-672,,,,,,,,delta_rise=0.0_fall=1.0,6,3.2857142857142856,1.6659862556700855,NH
CAQ-672,,,,,,,,delta_rise=0.25_fall=0.0,10,2.090909090909091,0.8999540851465151,NH
CAQ-672,,,,,,,,delta_rise=0.25_fall=0.25,9,2.3,1.2688577540449522,NH
CAQ-672,,,,,,,,delta_rise=0.25_fall=0.5,9,2.3,1.2688577540449522,NH
CAQ-672,,,,,,,,delta_rise=0.25_fall=0.75,6,3.2857142857142856,1.6659862556700855,NH
CAQ-672,,,,,,,,delta_rise=0.25_fall=1.0,6,3.2857142857142856,1.6659862556700855,NH
CAQ-672,,,,,,,,delta_rise=0.5_fall=0.0,12,1.9166666666666667,0.759202798262025,NH
CAQ-672,,,,,,,,delta_rise=0.5_fall=0.25,11,2.090909090909091,1.1642044068059725,NH
CAQ-672,,,,,,,,delta_rise=0.5_fall=0.5,11,2.090909090909091,1.1642044068059725,NH
CAQ-672,,,,,,,,delta_rise=0.5_fall=0.75,7,2.875,1.6909686573085854,NH
CAQ-672,,,,,,,,delta_rise=0.5_fall=1.0,7,2.875,1.6909686573085854,NH
CAQ-672,,,,,,,,delta_rise=0.75_fall=0.0,13,1.7692307692307692,0.7994080650317895,NH
CAQ-672,,,,,,,,delta_rise=0.75_fall=0.25,12,1.9166666666666667,1.1873172373979173,NH
CAQ-672,,,,,,,,delta_rise=0.75_fall=0.5,12,1.9166666666666667,1.1873172373979173,NH
CAQ-672,,,,,,,,delta_rise=0.75_fall=0.75,10,2.090909090909091,1.443137078762504,NH
CAQ-672,,,,,,,,delta_rise=0.75_fall=1.0,10,2.090909090909091,1.443137078762504,NH
CAQ-672,,,,,,,,delta_rise=1.0_fall=0.0,17,1.3529411764705883,0.5882352941176471,NH
CAQ-672,,,,,,,,delta_rise=1.0_fall=0.25,17,1.3529411764705883,0.5882352941176471,NH
CAQ-672,,,,,,,,delta_rise=1.0_fall=0.5,17,1.3529411764705883,0.5882352941176471,NH
CAQ-672,,,,,,,,delta_rise=1.0_fall=0.75,15,1.4375,0.7043392293490403,NH
CAQ-672,,,,,,,,delta_rise=1.0_fall=1.0,15,1.4375,0.7043392293490403,NH
CAQ-672,,,,,,,,multimodal_alpha=0.0,0,23.0,0.0,NH
CAQ-672,,,,,,,,multimodal_alpha=0.1,7,2.875,1.165922381636102,NH
CAQ-672,,,,,,,,multimodal_alpha=0.2,7,2.875,1.165922381636102,NH
CAQ-672,,,,,,,,multimodal_alpha=0.30000000000000004,7,2.875,1.165922381636102,NH
CAQ-672,,,,,,,,multimodal_alpha=0.4,7,2.875,1.165922381636102,NH
CAQ-672,,,,,,,,multimodal_alpha=0.5,8,2.555555555555556,0.8314794192830981,NH
CAQ-672,,,,,,,,multimodal_alpha=0.6000000000000001,8,2.555555555555556,0.8314794192830981,NH
CAQ-672,,,,,,,,multimodal_alpha=0.7000000000000001,8,2.555555555555556,0.8314794192830981,NH
CAQ-672,,,,,,,,multimodal_alpha=0.8,8,2.555555555555556,0.8314794192830981,NH
CAQ-672,,,,,,,,multimodal_alpha=0.9,8,2.555555555555556,0.8314794192830981,NH
CAQ-672,,,,,,,,multimodal_alpha=1.0,8,2.555555555555556,0.8314794192830981,NH
CAQ-672,,,,,,,,norms_associative,14,1.5333333333333334,0.8055363982396383,NH
CAQ-672,,,,,,,,norms_categorical,13,1.6428571428571428,0.8949974347244049,NH
CAQ-672,,,,,,,,simdrop,8,2.555555555555556,0.8314794192830981,NH
CAR-673,0.5770320588940518,0.1723968904539874,6.412154535130434,0.6814475184314862,0.2187142857142857,0.0564309438922603,23.0,delta_rise=0.0_fall=0.0,15,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=0.0_fall=0.25,14,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=0.0_fall=0.5,12,1.7692307692307692,0.7994080650317895,NH
CAR-673,,,,,,,,delta_rise=0.0_fall=0.75,11,1.9166666666666667,0.8620067027323833,NH
CAR-673,,,,,,,,delta_rise=0.0_fall=1.0,7,2.875,1.8328597873268968,NH
CAR-673,,,,,,,,delta_rise=0.25_fall=0.0,15,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=0.25_fall=0.25,14,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=0.25_fall=0.5,12,1.7692307692307692,0.7994080650317895,NH
CAR-673,,,,,,,,delta_rise=0.25_fall=0.75,11,1.9166666666666667,0.8620067027323833,NH
CAR-673,,,,,,,,delta_rise=0.25_fall=1.0,7,2.875,1.8328597873268968,NH
CAR-673,,,,,,,,delta_rise=0.5_fall=0.0,15,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=0.5_fall=0.25,14,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=0.5_fall=0.5,12,1.7692307692307692,0.7994080650317895,NH
CAR-673,,,,,,,,delta_rise=0.5_fall=0.75,11,1.9166666666666667,0.8620067027323833,NH
CAR-673,,,,,,,,delta_rise=0.5_fall=1.0,7,2.875,1.8328597873268968,NH
CAR-673,,,,,,,,delta_rise=0.75_fall=0.0,15,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=0.75_fall=0.25,14,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=0.75_fall=0.5,12,1.7692307692307692,0.7994080650317895,NH
CAR-673,,,,,,,,delta_rise=0.75_fall=0.75,11,1.9166666666666667,0.8620067027323833,NH
CAR-673,,,,,,,,delta_rise=0.75_fall=1.0,7,2.875,1.8328597873268968,NH
CAR-673,,,,,,,,delta_rise=1.0_fall=0.0,15,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=1.0_fall=0.25,14,1.5333333333333334,0.4988876515698588,NH
CAR-673,,,,,,,,delta_rise=1.0_fall=0.5,12,1.7692307692307692,0.7994080650317895,NH
CAR-673,,,,,,,,delta_rise=1.0_fall=0.75,11,1.9166666666666667,0.8620067027323833,NH
CAR-673,,,,,,,,delta_rise=1.0_fall=1.0,7,2.875,1.8328597873268968,NH
CAR-673,,,,,,,,multimodal_alpha=0.0,3,5.75,3.897114317029974,NH
CAR-673,,,,,,,,multimodal_alpha=0.1,8,2.555555555555556,0.6849348892187751,NH
CAR-673,,,,,,,,multimodal_alpha=0.2,8,2.555555555555556,0.6849348892187751,NH
CAR-673,,,,,,,,multimodal_alpha=0.30000000000000004,8,2.555555555555556,0.6849348892187751,NH
CAR-673,,,,,,,,multimodal_alpha=0.4,6,3.2857142857142856,1.665986255670086,NH
CAR-673,,,,,,,,multimodal_alpha=0.5,7,2.875,0.5994789404140899,NH
CAR-673,,,,,,,,multimodal_alpha=0.6000000000000001,7,2.875,0.5994789404140899,NH
CAR-673,,,,,,,,multimodal_alpha=0.7000000000000001,7,2.875,0.5994789404140899,NH
CAR-673,,,,,,,,multimodal_alpha=0.8,7,2.875,0.5994789404140899,NH
