Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.731504903748554,0.8385349367753043,,157.61670007121978,NH
CAF-657,forage_dynamic_simdrop,9.042650328743626,1.932482033084056,,154.23092399704035,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.563833753032679,0.7200622885351304,,158.04946719480978,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.578518366745106,1.024303327609662,,157.4581614400553,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.57853008921289,1.0243051422522067,,157.4581614400186,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,9.111314773235849,1.6706422315313765,,155.7178107784425,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,9.115169875083614,1.794727620861777,,155.4239742978824,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,9.11516775659424,1.7947288655336515,,155.42397429788244,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,9.115168710296397,1.794728410682004,,155.42397429788167,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,9.115176506142811,1.7947293529643649,,155.4239742978977,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,9.10061581084525,1.9658840341056203,,154.2660330913937,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,9.01859974769164,1.977632957676424,,154.30689608532523,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,9.04265069185986,1.9324819942661304,,154.2309239970407,NH
CAF-657,forage_dynamic_norms_associative,8.773575693907182,2.8941955087825555,,152.80520121974067,NH
CAF-657,forage_dynamic_norms_categorical,8.377949596428115,1.7348121492921458,,155.82945186624505,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.765836782740685,2.7019499951444743,,151.18085554220266,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.994493632026675,2.6015277522044067,,150.9710583713894,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.994496926325695,2.601528187270943,,150.9710583713913,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.994488774746157,2.601526994057439,,150.97105837139642,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.994497326331107,2.601527039580956,,150.97105837139466,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.530542488796485,2.906131535904338,,150.65376183693542,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.782496011950295,2.7701444220485807,,150.52423039871158,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.78249231301048,2.770146655464736,,150.52423039870206,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.782481239185106,2.770144831845605,,150.5242303987592,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.782498497698631,2.770147532418503,,150.5242303986971,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.615668112851713,3.247919743313413,,150.2755314440624,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.87669322892543,3.043219376351689,,150.25583835952753,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.876697797527182,3.043217737697212,,150.25583835953083,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.876693966730743,3.0432208510321304,,150.2558383595312,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.87669681788359,3.043217574964997,,150.2558383595302,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.615666243647844,3.247922510420075,,150.2755314440535,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.876698647713045,3.043218776904229,,150.25583835953037,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.876686339196336,3.043218384824837,,150.25583835954183,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.87671982791011,3.043219489090387,,150.25583835966088,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.87669206346008,3.0432177053544547,,150.2558383595302,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,8.615678462975781,3.24792383838532,,150.27553144406568,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,8.876667374013072,3.0432229817888614,,150.25583835970258,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,8.876693695112317,3.043215978712536,,150.2558383595375,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,8.87668612957199,3.043218730692531,,150.25583835954228,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.876698746833835,3.043218765557901,,150.25583835953057,NH
CAF-657,forage_phonologicalstatic,8.706526667353264,0.8238090197149404,0.0151321524624885,157.57657105503247,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,9.03166690411074,1.9191693036518704,0.0049705205938041,154.22662181306384,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,9.041231432988983,1.9299825320016988,0.0009451627294876,154.23081991458744,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,9.03323190075672,1.931973285234052,0.0130679866582617,154.22104154962662,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.540840982550392,0.7070703856166111,0.0164679892262112,158.00194279074773,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.519057437904882,0.6947116606502416,0.0317821073844593,157.88324763583708,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.55477371692137,0.7190796625148578,-2.3267258353600666,157.34195123661794,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.557915430883424,1.0079346352781224,0.0159476612320236,157.41368544891597,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.473198699218797,0.9178069843182683,0.1051332871227327,156.0328304081445,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.612989871668157,1.0273072279068736,-2.423387264091672,153.95912877257885,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.557923793760203,1.007936442616936,0.0159476642384489,157.41368544892129,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,8.473206230965836,0.9178089306859932,0.1051333027557216,156.0328304081466,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,8.613086167387117,1.0273120624612238,-2.130447214846723,153.9591292525575,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,9.089530237154502,1.647277697084672,0.0123459257799381,155.6909169369692,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,9.004087055927169,1.5194716527888927,0.0814373841906489,154.8446095942456,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,9.181027714999384,1.6779029914456711,-0.2221547177603993,154.09813836031287,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,9.094317902216115,1.771923161003019,0.0107468414218654,155.40364024672942,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,9.038649064819074,1.6618715356125833,0.0648646570651219,154.90526828554786,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,9.188833435628176,1.8020479465972497,-0.120192602796484,154.7438143173547,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,9.094298282479258,1.7719211293034078,0.0107468928591067,155.4036402467355,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,9.038648782267211,1.6618717111027752,0.0648647262122869,154.9052682855468,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,9.188826065110709,1.8020448724758853,-0.1201925277682129,154.74381431737572,NH
