Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.698626124296082,1.2322774251528208,,162.69912312325758,NH
CAF-657,forage_dynamic_simdrop,8.605870221965864,2.2293576775517763,,158.2151767369106,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.591923701158809,1.1937948769813989,,163.07584857730404,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.576617680731614,1.8840268190655785,,160.64941758899823,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.576612335490255,1.8840251820416696,,160.64941758898888,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.6696066338549,1.939435261625656,,160.11033908161482,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.643823576754254,2.0904335611591427,,159.5211243909396,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.643823620354093,2.090430894102843,,159.52112439094245,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.643828621658239,2.090429891553498,,159.52112439095197,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.6438190018753,2.09043086707012,,159.5211243909503,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.576131511627477,2.2381342361439454,,158.23217010110872,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.687191476412037,2.244575551083219,,157.97652403747557,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.605878503017951,2.22936130561537,,158.21517673689243,NH
CAF-657,forage_dynamic_norms_associative,8.583048598546721,3.599471724981792,,156.50540797167352,NH
CAF-657,forage_dynamic_norms_categorical,8.188192604163518,2.502028802795212,,159.51449855300285,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.219447713939132,2.494817469339337,,157.95413659727595,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.39115364196012,2.4533107800982323,,157.13142602245853,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.39115539643251,2.4533118711660875,,157.13142602245554,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.552610746048385,2.331768356910197,,157.43721283956992,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.641757411512582,2.2940919038912395,,157.37883489970926,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.40614120877833,3.171918163683356,,155.88052828476128,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.596448498079177,3.02195206569787,,155.18392432763022,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.596444768728636,3.021952893955555,,155.18392432762425,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.849430935173519,2.8754558796672387,,155.11766625353772,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.953385273338656,2.811834567217012,,155.12885872432645,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.3452452228464,3.907529248863915,,155.04713801745766,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.445937777947918,3.971930935793648,,153.91702009305212,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.445924147512484,3.971929717741567,,153.9170200930214,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.740318710995131,3.588925578148152,,154.31487645682935,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.846953585475472,3.4442536142559765,,154.49590821587992,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.345257706050873,3.907530205530043,,155.04713801745217,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.445922049697996,3.971928028804207,,153.91702009302554,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.445918427331389,3.971925350634498,,153.91702009304714,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.740312571428973,3.588923936626537,,154.31487645682887,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.846952882649141,3.444253029353309,,154.49590821587694,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,8.411110885595704,4.000025092978037,,156.35430520681908,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,8.411101240807762,4.00002686991831,,156.35430520682326,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,8.41111962577658,4.000030300057527,,156.35430520684858,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,8.468773300128294,3.527362215310597,,157.61231611669783,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.570396562255258,3.341906840168695,,157.78220577829978,NH
CAF-657,forage_phonologicalstatic,8.649336655508314,1.1999647776039348,0.0236864906333354,162.59598413881696,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.58274363880882,2.201197183918884,0.0107443981294977,158.19444898689252,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.6355593786876,2.270928636897952,-0.0157208472218807,158.18430301041587,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.582227743227438,2.229023656123519,0.0723453530544669,157.92874241969213,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.54646690490806,1.163165284163239,0.0251655968625926,162.95933296987985,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.518880770483811,1.1443499674433049,0.0404016178457,162.7940303643028,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.58351442167976,1.1930641768153,-2.0768432833103003,162.36843726042096,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.542690373556388,1.8458652264364488,0.0197930088690602,160.57795765603024,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.452942239078485,1.7364311649053727,0.0777632999819705,159.83940550604473,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.579304169805248,1.884143332683837,-0.1811588411243843,159.58305143075617,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.542689499048153,1.845865093088589,0.0197930194693688,160.5779576560265,NH
