Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.749872895500047,1.1020760083747472,,163.00695520975287,NH
CAF-657,forage_dynamic_simdrop,8.9675699532214,2.235793536804104,,158.48756254212825,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.612605994230261,1.0174045501236837,,163.5396330067381,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.571066235576252,1.3714184788587278,,162.5817584294116,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.57107073203431,1.371421673877608,,162.5817584293879,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,9.137369527088376,2.0449000398542374,,160.20369949720356,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,9.131361719502134,2.1765207244454885,,159.78381933690042,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,9.131355769949964,2.176520300351292,,159.78381933688826,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,9.131363578675762,2.176521059434033,,159.78381933690764,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,9.131345494208963,2.1765193640770906,,159.78381933690332,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,9.041934354540338,2.2822228685085943,,158.4894453452663,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.949939282898487,2.300146334574767,,158.5094816326966,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.967569522264835,2.235792075997113,,158.48756254212884,NH
CAF-657,forage_dynamic_norms_associative,8.69379855328108,3.323830064357692,,156.13358168550278,NH
CAF-657,forage_dynamic_norms_categorical,8.255621263155952,2.169101474485556,,160.1638657221069,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.477802603053805,3.228080704716983,,153.58303507402965,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.733603690773613,3.071155291882514,,153.58084255015672,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.733587538704585,3.071154387526514,,153.58084255009604,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.733589216090023,3.0711543469337705,,153.58084255009695,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,9.094866298718213,2.7471974672052863,,155.2204191280674,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.368540941893666,3.23281548329619,,154.00325203662229,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.631850003088989,3.0678116614788995,,154.01238759777587,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.631845149613335,3.067809806621318,,154.0123875977755,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.631846487283628,3.067812045713932,,154.012387597766,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,9.094861718121294,2.747197614447471,,155.2204191280688,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.478739649567615,3.6117210377189175,,153.34151978062474,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.748229634590805,3.372898230619283,,153.51069825238108,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.74824865031149,3.3728937011929183,,153.51069825246532,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.748231454142969,3.372895719933124,,153.51069825238443,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,9.094866048675538,2.747197181950209,,155.22041912806878,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.327457795266705,3.712013831071945,,153.5611508031569,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.605737587554696,3.437758001219336,,153.7936290077122,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.605739221637519,3.437757219904367,,153.793629007714,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.605744208372544,3.4377577354184625,,153.79362900772017,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.984384514019114,3.262384226560571,,153.46686967549607,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,7.873277828746595,3.747591793039389,,160.02837896905177,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,8.133493079521516,3.507163694057209,,157.92242539397492,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,8.133495083930217,3.507158939579539,,157.92242539399552,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,8.133478025759414,3.507162153604412,,157.92242539401633,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.258393174462485,3.3149461251804504,,157.97894329257971,NH
CAF-657,forage_phonologicalstatic,8.69816020923059,1.070732996720224,0.0239315573007631,162.90179412465395,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.939995873901344,2.2038238822869234,0.010428371907321,158.46789356831837,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.949794553489356,2.2082484478530744,0.0090519698690697,158.47744045248402,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.958446623999071,2.235450939017609,0.013265591889632,158.4773773206832,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.563636046608861,0.9882019666480948,0.0256630577121297,163.4185986361806,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.534427977288736,0.9706052831066824,0.0409540773076327,163.25041331383,NH
