Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.290691929987803,1.0065622951331283,,163.2757082435925,NH
CAF-657,forage_dynamic_simdrop,8.192841157677606,2.2323798781574866,,156.3975398948424,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.223646768636371,0.9396111498855352,,163.6879889635498,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.22101600643123,1.5701343931497678,,161.57573374437865,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.2210244281707,1.5701362897824591,,161.5757337443756,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.22752367787635,1.9037705971416743,,159.85723972156444,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.284736838752163,1.9532384597696804,,159.2939941455814,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.284739506623984,1.9532388066721185,,159.2939941455834,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.31981935013614,2.223852149912037,,157.2607523069417,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.186191620212522,2.356277916482128,,155.57159408696393,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.186196956094333,2.3562799563215555,,155.57159408695605,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.186194885718479,2.3562801708267265,,155.5715940869593,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.192854113082882,2.2323801546581787,,156.39753989485587,NH
CAF-657,forage_dynamic_norms_associative,8.336860835157815,2.934363601648442,,157.34155145619167,NH
CAF-657,forage_dynamic_norms_categorical,7.940316461305073,2.266761845196027,,159.26595422230344,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,7.8632062281475665,2.360045267782487,,157.12751355886738,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,7.941676236178066,2.3893292317241723,,156.5721458950108,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.107085592383791,2.35065301236151,,156.1111204676002,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.200155574170918,2.094604582408115,,157.13381373326794,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.389194227687192,1.601189872166023,,160.38309195362473,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.10206687987914,3.2245078150103605,,152.010431602818,NH
