Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.41269196368198,2.117213490450581,,160.70255208775478,NH
CAF-657,forage_dynamic_simdrop,8.492208349765308,4.591987774989721,,153.15317146209372,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.332863799065601,1.9593926317809915,,161.62165550678066,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.188122166409833,2.0651436391766462,,161.88414071637752,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.188116872943592,2.065139179176808,,161.8841407163702,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.581665969797553,3.7692303205694406,,157.3015699631217,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.473330617680633,4.486833388350443,,153.7422346672756,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.47330620875693,4.486829635847164,,153.74223466723626,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.473313217159864,4.486840619149426,,153.7422346672659,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.47331808897733,4.486830883892271,,153.7422346672241,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.582582432781336,4.484536031777494,,153.39614390962106,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.49221529014443,4.591986087650891,,153.15317146209247,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.492203412421771,4.591989961311199,,153.15317146210978,NH
CAF-657,forage_dynamic_norms_associative,8.184538513900497,4.924403335784555,,157.68677697500527,NH
CAF-657,forage_dynamic_norms_categorical,7.901542416404752,3.0880954714262745,,160.58198904530863,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.102363407954066,6.301140515174517,,147.4525633079298,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.102372883478859,6.301136896507201,,147.4525633079248,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.171808309115413,5.921236401111271,,148.65683786335495,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.450483791140398,5.71765706509839,,147.67707111356117,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.596185947448435,5.197048393016941,,148.7085053612351,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,7.863479955776956,6.561165884132838,,148.0608894583499,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,7.8634714632934095,6.561173547842729,,148.06088945838292,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,7.863498229917137,6.5611642587063725,,148.06088945837774,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.345232240599552,5.824834972435504,,147.9165035618296,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.59618462456557,5.197040104247834,,148.70850536122907,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,7.863486473012867,6.561170329512168,,148.06088945834205,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,7.86348435071161,6.561166176716326,,148.06088945834333,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,7.863488968767092,6.561160622790514,,148.06088945836748,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.345219738369533,5.82483871599209,,147.9165035617925,NH
