Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.564024442445358,1.1408142516281117,,157.20390092928793,NH
CAF-657,forage_dynamic_simdrop,8.955576609167494,3.158298232487813,,151.8647357079183,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.463950030565424,1.031088445364332,,157.60639935757217,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.223150347826985,0.8516815570634575,,158.1541064101019,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.223150343441997,0.8516812328178627,,158.15410641010104,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.911911294926828,2.498650168269859,,154.56193718815865,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.91192452051535,2.498653688299025,,154.56193718818616,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.909807921415997,2.969054943886177,,152.67352594012146,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.835165606722363,3.113488235765079,,152.2624663504775,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.83515379434629,3.113485649093461,,152.26246635047556,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.835153468928102,3.113487625948368,,152.26246635047434,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.955580316378114,3.158299202381689,,151.86473570791594,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.955562665029277,3.158292319212665,,151.8647357080027,NH
CAF-657,forage_dynamic_norms_associative,8.437011824330733,2.8901685970910744,,155.66061025094663,NH
CAF-657,forage_dynamic_norms_categorical,8.154106154126417,1.55358653873272,,157.34154199319542,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.50782129721157,3.884164580045144,,151.1121099347827,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.58787474700492,3.977700942491905,,150.26078459998078,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.328583517389474,1.984736867476513,,155.64222749821738,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.540795048838945,2.041439757180174,,154.8391898246078,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.666809242672302,2.020677135747667,,154.67769985876305,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.507833484362997,3.8841707658478137,,151.11210993477178,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.58788498552133,3.977704036680443,,150.26078459997504,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.32858875333993,1.984735099735538,,155.64222749821275,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.540798650172869,2.041440125753604,,154.83918982460818,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.666786388086381,2.0206796405160383,,154.67769985864376,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.50782040215617,3.8841548939152393,,151.1121099348749,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.587883712731987,3.977704939694308,,150.26078459997345,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.328591063452713,1.9847403866656863,,155.64222749820695,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.540803641338622,2.041438142275473,,154.83918982461572,NH
