Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.732438659448139,0.832701232496662,,157.62614096316415,NH
CAF-657,forage_dynamic_simdrop,9.048029001514,1.921331898343551,,154.27560958967712,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.56340418241862,0.7142138601691689,,158.05729764428708,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.580178818361475,1.018028013832459,,157.46702824401285,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.580165776379998,1.0180260014279137,,157.46702824400754,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,9.116631884795655,1.665510693994602,,155.72104746864193,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,9.118038425517868,1.7844484179890918,,155.44804804304658,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,9.118034668840098,1.7844459808751854,,155.44804804305403,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,9.118036176766566,1.784447198163379,,155.44804804304874,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,9.118030685534034,1.7844456401912567,,155.44804804306537,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,9.106482473155245,1.9568193262608675,,154.2967743389678,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,9.023722798773878,1.966103932575736,,154.35082128467025,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,9.048031211804703,1.921330563274664,,154.27560958966575,NH
CAF-657,forage_dynamic_norms_associative,8.78108740663997,2.8904596779992944,,152.81320975444504,NH
CAF-657,forage_dynamic_norms_categorical,8.382983853306579,1.7258657191973787,,155.85146297645102,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.775396861859022,2.6960638232593443,,151.21248096280965,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,9.004475912623022,2.5943544801881657,,151.01005942412758,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,9.004476441106426,2.594352635400655,,151.01005942412434,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,9.004497534080398,2.594352480828665,,151.01005942416782,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,9.00447973019101,2.594351809552974,,151.01005942412084,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.539949174632733,2.902095165840592,,150.68330034817274,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.79272156860144,2.764339770425309,,150.5624004886874,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.792717220405287,2.764339043877364,,150.56240048869,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.792716636685919,2.764338174206998,,150.56240048869367,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.792729718137007,2.764340207774401,,150.56240048870583,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.624473227200845,3.24334098700714,,150.31267516553385,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.886203589961376,3.036345625385596,,150.30233100058405,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.886199467473542,3.0363472285670223,,150.30233100058396,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.886200468442027,3.036346015930078,,150.30233100058416,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.886186423416522,3.036346352290866,,150.30233100064012,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.624468488659412,3.243336157553069,,150.3126751655199,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.88618968430084,3.036350316458273,,150.30233100063057,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.886198370641827,3.0363457230799504,,150.30233100058825,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.886177389259778,3.036349018100358,,150.30233100072414,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.886185015458217,3.03634975775106,,150.30233100065777,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,8.624467051883302,3.243338187159904,,150.31267516551472,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,8.886207978399105,3.03634553431882,,150.30233100058953,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,8.886198488973521,3.036345296426078,,150.30233100058962,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,8.886205301974279,3.036346676734309,,150.30233100058254,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.886220473125634,3.036346246875135,,150.3023310006464,NH
CAF-657,forage_phonologicalstatic,8.70744634867498,0.8181477068571894,0.0152228165065814,157.5855261954792,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,9.036361326182403,1.9073485726619752,0.0052873951143571,154.2707375326756,NH
