Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.554265186630293,0.8511171668709074,,157.7037089657724,NH
CAF-657,forage_dynamic_simdrop,8.926127585568306,2.117462574718329,,153.0892428050535,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.429142018160023,0.7366457246004663,,158.10112237622158,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.424747264477674,1.0252955395389922,,157.5819180223903,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.424747370633341,1.0252938862616283,,157.58191802239003,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.800879034700236,1.5237539683586143,,156.42677186597012,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.887297935958827,1.8215923925594848,,155.46934413638277,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.887297406107106,1.8215917839460745,,155.46934413638226,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.887304383659005,1.821593655735925,,155.4693441363998,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.910725320778331,2.163850880667939,,153.1920385502702,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.910732723437482,2.163853009118234,,153.1920385502576,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.910717994546381,2.163854870266483,,153.19203855031768,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.92614016360456,2.1174624162496984,,153.08924280505795,NH
CAF-657,forage_dynamic_norms_associative,8.569552729152786,2.7476997595937447,,153.49028697948935,NH
CAF-657,forage_dynamic_norms_categorical,8.223875902419339,1.8370813846702807,,155.57805953173852,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.629439367737215,2.681815865423647,,150.99458055578452,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.629438550035472,2.681818292241035,,150.9945805557699,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.731014664262881,2.7131728271143,,150.34864255610754,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.54511573001537,1.548034459753936,,155.20663280234794,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.669902884096391,1.5541265725807978,,154.86316417931332,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.517634450264127,2.90804674634118,,149.79397504709988,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.517616048027435,2.90804583022202,,149.79397504709382,NH
