Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized,Group
CAF-657,forage_static,8.606073804844996,1.8489788260350724,,155.122707971533,NH
CAF-657,forage_dynamic_simdrop,8.37046812306905,3.984606281707194,,148.91294576046934,NH
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.536275405090473,1.733306151211103,,155.77954142080733,NH
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.39424949717199,2.265611816392948,,155.08999135498755,NH
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.394237046807417,2.265601495755745,,155.0899913550751,NH
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.466813168771946,3.1863673196463087,,152.09190174147986,NH
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.34808875081386,3.901181696694959,,149.1744063483048,NH
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.285005354540104,3.9532955374561953,,149.36858359227315,NH
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.37047307794753,3.984612150616877,,148.91294576045243,NH
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.37047917727918,3.9846145914605553,,148.9129457604651,NH
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.370473689338368,3.984611582869784,,148.91294576045186,NH
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.37048323131958,3.984612906495673,,148.91294576047218,NH
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.370482721197552,3.984604218320453,,148.91294576049046,NH
CAF-657,forage_dynamic_norms_associative,8.3300319053526,3.207819375681736,,155.5471456632365,NH
CAF-657,forage_dynamic_norms_categorical,8.135212664886094,2.2405377598771463,,156.3176655455423,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.198552720062448,3.97525343879044,,149.80413686199017,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.30650713615861,3.06331434495641,,152.73602822889433,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.428771396222324,2.980279408915451,,152.2460436151064,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.498364450694988,3.052623278772896,,151.6434716305027,NH
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.566467003894658,3.000576933204674,,151.29984563006167,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.386762298400336,5.269603274799529,,147.51947422675315,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.241371089435647,3.0593414471595524,,152.94007743239374,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.263239477433387,3.15618781041258,,152.30653263330998,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.327429254408194,3.228863260599373,,151.69296907243182,NH
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.566473494885408,3.000578776958948,,151.2998456300961,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.079226051384358,6.278329646653838,,146.45787219228347,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.079245604127166,6.278321615772577,,146.45787219223547,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.080208366877992,6.224033411949682,,145.7152237958486,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.171768261189534,6.167148713646286,,145.04085154290345,NH
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.75124803960485,5.131740798504083,,145.08809490255865,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.06836385277722,6.0085000848519545,,148.26666629105236,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.068349032233536,6.008525841385578,,148.26666629106992,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.080183971874076,6.224040776375392,,145.71522379574336,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.17175174530978,6.167157459704276,,145.04085154284627,NH
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.75124673647341,5.131738655124419,,145.08809490255956,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,8.103870303915356,6.041344389887675,,149.51848420154332,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,8.103893117164887,6.0413473752176206,,149.51848420143023,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,8.121534054925261,6.277016622222149,,146.9610331185494,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,8.21242324188007,6.213014541387115,,146.2869594536127,NH
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.323273566711855,5.929917621736736,,145.60552443472267,NH
CAF-657,forage_phonologicalstatic,8.589034339136456,1.832068640871756,0.0155324601486911,155.08017601042437,NH
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.372930080436461,3.991695010320963,-0.0018066829271984,148.91238749827457,NH
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.409032802413957,4.108429896975,-0.0314246827001614,148.80473564687753,NH
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.360987565562247,3.9847905003398254,0.05206686917915,148.74521765906857,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.52104123892012,1.71806913633056,0.016291585468099,155.73280904765252,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.506494763240603,1.7035031675181485,0.031495725462275,155.61530840446522,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.527182065504329,1.7327618421110889,-1.964580897658084,155.07192428089402,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.380591533197501,2.244004952482383,0.0149773625800559,155.05072505987766,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.32621449313479,2.1330551357104,0.0911339517426746,154.07448155561278,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.403658639392502,2.265941623134231,-0.2040654640615653,153.6268701279664,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.380597196478215,2.244000694046968,0.0149773735187573,155.05072505986314,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,8.326204284416939,2.133052820359329,0.0911339739885529,154.07448155558598,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,8.403650642828293,2.2659434238956857,-0.2040655313169347,153.62687012796297,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,8.456888196142394,3.166085008854816,0.0085129243637591,152.0793105299024,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,8.428048127654627,3.0609471266348462,0.0526429913459599,151.75967959215765,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,8.49627245833676,3.1867178693603413,-0.0938765054182294,151.66812568767563,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,8.348665084862585,3.902910401757505,-0.000459958514192,149.17437003553889,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,8.33927871789471,3.8661556177979706,0.0093192445999104,149.16438558418304,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,8.353737181289683,3.90107739555003,-0.0204431802245953,149.1510661613549,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,8.28584553594276,3.955863595198875,-0.0006600077438678,149.36850896052962,NH
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,8.298850194904652,4.004269741762698,-0.0130382684707648,149.3506586956413,NH
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,8.280508760969257,3.953403121151801,0.0192861484501782,149.34398133426288,NH
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,8.372924646652107,3.991697160223568,-0.0018066855856257,148.91238749826752,NH
